108,283,285
43,253,352
43,217,309
90,262,343
102,180,426
28,186,316
20,283,352
117,270,312
105,196,395
96,282,298
56,270,387
99,262,344
125,271,305
88,158,295
96,168,369
19,144,295
68,209,349
73,270,375
76,203,400
56,238,368
109,179,402
135,153,373
22,225,330
23,218,391
47,210,312
122,215,406
96,283,417
106,244,351
88,186,383
137,168,335
91,185,321
5,255,306
25,231,299
75,248,339
119,169,318
53,278,290
62,284,292
94,279,378
8,245,366
53,157,328
10,275,303
29,276,379
123,248,390
129,167,393
128,216,387
24,226,343
113,259,402
119,274,294
98,228,381
2,146,413
36,178,421
23,167,377
74,205,357
3,270,334
40,167,413
104,279,399
9,180,359
20,166,370
70,162,401
49,226,359
77,200,370
64,206,294
3,219,370
66,191,342
74,147,297
82,252,384
37,187,381
15,265,423
70,167,315
80,237,389
15,188,331
31,228,323
65,257,327
139,217,296
68,169,343
22,226,419
86,151,344
76,172,379
111,242,426
46,214,358
110,146,338
133,242,320
126,244,317
39,247,365
142,272,415
75,278,374
81,227,347
132,248,399
9,213,374
21,210,310
2,188,422
9,161,373
90,187,302
109,265,309
105,213,309
79,239,385
139,179,360
99,165,338
43,160,360
136,273,354
76,146,371
124,230,407
40,271,320
5,199,368
5,268,378
8,191,302
73,247,368
135,206,366
104,259,335
10,241,304
78,169,397
35,260,331
63,264,341
107,218,316
19,215,311
114,258,357
120,190,397
61,212,348
116,280,395
104,188,364
25,257,395
97,254,290
91,222,338
116,214,333
57,269,363
16,149,318
131,264,323
142,257,317
46,263,360
124,217,385
26,264,335
81,273,348
63,193,422
85,181,323
62,184,402
8,166,396
51,166,350
4,254,333
8,211,313
95,203,337
89,212,362
59,223,376
82,219,286
93,239,325
92,214,356
104,184,311
60,210,396
48,172,353
104,198,287
24,221,373
28,261,291
68,187,341
70,204,366
2,219,351
107,264,315
11,193,386
18,274,347
69,171,330
14,216,364
136,224,317
137,181,295
11,281,362
131,230,412
125,154,423
115,198,392
59,233,392
25,186,380
131,159,297
108,277,370
30,283,414
31,283,401
117,237,360
22,279,297
1,185,334
66,199,301
71,235,407
108,260,371
41,145,422
126,211,371
79,167,410
99,213,418
133,252,360
43,172,405
69,236,332
60,228,346
6,271,318
49,163,416
33,208,379
136,242,336
53,172,420
133,150,399
30,207,285
117,257,337
50,206,393
76,172,311
112,226,423
